Wall time,Step,Value
1687632028.562624,0,0.6172348260879517
1687632069.757028,1,0.742994487285614
1687632103.889393,2,0.797574520111084
1687632138.649994,3,0.8634876608848572
1687632174.488465,4,0.9061033129692078
1687632216.557269,5,0.9327157139778137
1687632250.039159,6,0.9545641541481018
1687632283.562563,7,0.9658297896385193
1687632317.600479,8,0.9722026586532593
1687632357.437614,9,0.9779068231582642
1687632394.699534,10,0.9814644455909729
1687632434.690819,11,0.9840000867843628
1687632467.688335,12,0.9786160588264465
1687632501.148763,13,0.9854868054389954
1687632538.268687,14,0.985194981098175
1687632575.108678,15,0.9915847778320312
1687632611.094822,16,0.9894737005233765
1687632645.110476,17,0.9883308410644531
1687632677.583931,18,0.9865491390228271
1687632710.995338,19,0.9895236492156982
1687632743.174361,20,0.9836602210998535
1687632783.951772,21,0.988452136516571
1687632817.964891,22,0.9900944828987122
1687632852.444372,23,0.993055522441864
1687632886.971055,24,0.9913876056671143
1687632922.194174,25,0.9963315725326538
1687632957.466723,26,0.9963065981864929
1687632993.698938,27,0.9951657056808472
1687633029.19512,28,0.9942194819450378
1687633071.084737,29,0.9939084649085999
1687633105.66876,30,0.9972678422927856
1687633146.607785,31,0.9957305788993835
1687633183.109673,32,0.9953314661979675
1687633217.942429,33,0.9925245642662048
1687633251.858879,34,0.9922480583190918
1687633287.356376,35,0.9927675127983093
1687633323.470375,36,0.9872158169746399
1687633360.127129,37,0.9916667342185974
1687633394.924104,38,0.9867699146270752
1687633428.272236,39,0.9903314113616943
1687633463.417759,40,0.9890936017036438
1687633500.821211,41,0.992595911026001
1687633533.899797,42,0.9921838641166687
1687633565.888388,43,0.9954649209976196
1687633596.662585,44,0.9889741539955139
1687633629.03807,45,0.9924315214157104
1687633662.295981,46,0.9962652325630188
1687633695.661232,47,0.9924145936965942
1687633734.378158,48,0.9909008145332336
1687633766.503571,49,0.994159996509552
1687633799.073723,50,0.9942308068275452
1687633838.720933,51,0.9970518350601196
1687633872.415011,52,0.9978935718536377
1687633913.351924,53,0.9981464147567749
1687633952.46933,54,0.998168408870697
1687633998.212872,55,0.9927602410316467
1687634046.451127,56,0.98690265417099
1687634081.351497,57,0.9855445027351379
1687634116.166083,58,0.9943181872367859
1687634155.594926,59,0.9950920939445496
1687634196.047275,60,0.993055522441864
1687634236.89552,61,0.9865407943725586
1687634273.48194,62,0.9923007488250732
1687634312.792384,63,0.9870912432670593
1687634349.25004,64,0.99423748254776
1687634384.071509,65,0.9927906394004822
1687634417.19376,66,0.9946897625923157
1687634450.672543,67,0.9981158971786499
1687634487.94876,68,0.9972028732299805
1687634524.757415,69,0.9973123073577881
1687634562.023299,70,0.9977158904075623
1687634601.127153,71,0.998643159866333
1687634636.325187,72,0.9972104430198669
1687634668.461575,73,0.9924612045288086
1687634699.604852,74,0.99868243932724
1687634733.528422,75,0.9952152967453003
1687634767.969319,76,0.9950912594795227
1687634802.307764,77,0.997652530670166
1687634833.273941,78,0.9962790608406067
1687634864.217555,79,0.9972350001335144
1687634903.202017,80,0.9972602725028992
1687634948.347454,81,0.9918705224990845
1687634988.63194,82,0.9892376661300659
1687635036.437251,83,0.9950893521308899
1687635083.766264,84,0.9955752491950989
1687635128.991813,85,0.9973684549331665
1687635172.6798,86,0.9956521987915039
1687635209.045322,87,0.9975836873054504
1687635247.734845,88,0.995726466178894
1687635291.389119,89,0.996476411819458
1687635333.81393,90,0.9976657032966614
1687635376.457252,91,0.9979078769683838
1687635421.522373,92,0.9960035681724548
1687635494.760168,93,0.994990885257721
1687635533.156866,94,0.9950315952301025
1687635570.407678,95,0.995519757270813
1687635603.707805,96,0.9964444041252136
1687635638.069766,97,0.9947090148925781
1687635670.903059,98,0.9956256151199341
1687635707.617355,99,0.9921875
